Field ID,Joshua Project,IMB (People Groups),Etnopedia,Accelerate,Add-on Fields,Aggregate 1 (internal),User Interface,Active,Data Type,Priority #1,Priority #2,Priority #3,Priority #4
F_2,Frontier,,,,,Christianity_Frontier_Group,Christianity: Frontier Group Y/N,TRUE,Boolean,JP,,,
F_3,JPScale,,,,,Christianity_Gospel_Progress_Scale,Christianity: JP’s Gospel Progress Scale,TRUE,Integer,JP,,,
F_4,GSEC,GSEC,,,,Christianity_GSEC,Christianity: GSEC,FALSE,Integer,,,,
F_5,LeastReached,,,,,Christianity_Least_Reached,Christianity: JP’s Least Reached Y/N,TRUE,Boolean,JP,,,
F_6,,,,Non-Evangelical (Double),,Christianity_Non_Evangelical_Christian_Percent_of_Pop,Christianity: Non-Evangelical Christian % of Pop.,TRUE,Double,AX,,,
F_7,PercentAdherents,,,,,Christianity_Percent_All_Types,Christianity: % Christian (All Types),TRUE,Double,JP,,,
F_8,PercentEvangelical,,,,,Christianity_Percent_Evangelical,Christianity: % Christian (Evangelical),TRUE,Double,JP,,,
F_9,,,,Engaged Phase/Scale In-Country (Integer),,Engage_8_Phases_of_Engagement,Engage: 8 Phases of Engagement,TRUE,String,AX,,,
F_10,,,,Engaged in-country Y/N (Boolean),,Engage_Binary,Engage: Binary (Engaged / Unengaged),TRUE,Boolean,AX,,,
F_11,,SPI,,,,Engage_Engagement_Code_SPI,Engage: Engagement Code: SPI (IMB),TRUE,Integer,IMB,,,
F_12,,SPIdesc,,,,Engage_Engagement_Level_SPI,Engage: Engagement Level SPI (IMB),TRUE,String,IMB,,,
F_13,,,,Engagment Sufficient? In-country (Integer),,Engage_Engagement_Sufficiency_Scale,Engage: Engagement Sufficiency Scale,TRUE,String,AX,,,
F_14,,,,Engaged Est # Current in-country Gosp Workers (Integer),,Engage_Estimated_Gospel_Workers,Engage: Current Estimated # Gospel Workers,TRUE,Integer,AX,,,
F_15,,,,Engagement First Touch in-country (Text),,Engage_First_Touch_Index,Engage: First Touch Index (1-3x),TRUE,String,AX,,,
F_16,,EngStat,,Engage: Global Engagement Anywhere? (Engaged/Unengaged),,Engage_Global_Engagement_Anywhere,Engage: Global Engagement Anywhere? (Y/N),TRUE,Boolean,IMB,AX,,
F_17,,,,Engagement Movement Oriented Y/N In-country (Boolean),,Engage_Movement_Oriented,Engagement Movement Oriented? (Y/N),TRUE,Boolean,AX,,,
F_18,,,,In-country Engagement Timestamp (DateTime),,Engage_Timestamp_of_Changes,Engage: Timestamp of Changes,TRUE,DateTime,AX,,,
F_19,,,,Engagement Verification Level in-country (Integer),,Engage_Verification_Level,Engage: Verification Level (1-4),TRUE,Integer,AX,Etno,,
F_20,,,,Family Tree: 1 Down (Text),,Family_Tree_Level_Down,Family Tree: 1 Level Down (all names at that level),TRUE,String,AX,,,
F_21,,,,Family Tree: 1 Up (Text),,Family_Tree_Level_Up,Family Tree: 1 Level Up (name),TRUE,String,AX,,,
F_22,,,,Family Tree: Sisters (Text),,Family_Tree_Sisters,Family Tree: Sisters (All names of sister PGs),TRUE,String,AX,,,
F_23,Window1040,,,,,Geo_10_40_Window,Geo: Country Code: PG in 10-40Window Y/N,TRUE,Boolean,JP,,,
F_24,Continent,Regn,,Continent (Text),,Geo_Continent_Name,Geo: Continent Name,TRUE,String,JP,IMB,AX,
F_25,CountOfCountries,,,,,Geo_Count_of_Countries,Geo: JP’s Count of Countries,TRUE,Integer,JP,IMB,,
F_26,,,,,,Geo_Country_Code_FIPS,Geo: Country Code FIPS,FALSE,String,,,,
F_27,,,,,,Geo_Country_Code_GENC,Geo: Country Code GENC,FALSE,String,,,,
F_28,Ctry,Ctry,countries,Country (Text),,Geo_Country_Name,Geo: Country Name,TRUE,String,JP,IMB,AX,Etno
F_29,ISO3,ISOalpha3,ISO3,Geo ISO3 (Text),,Geo_ISO3,Geo: Country Code ISO3 (3 string),TRUE,String,IMB,JP,AX,
F_30,Latitude,Latitude,,,,Geo_Latitude,Geo: Latitude,TRUE,Double,JP,IMB,,
F_31,Longitude,Longitude,,,,Geo_Longitude,Geo: Longitude,TRUE,Double,JP,IMB,,
F_32,RegionCode,,,,,Geo_Region_Code,Geo: JP’s Region Code,TRUE,Integer,JP,IMB,,
F_33,RegionName,,,,,Geo_Region_Name,Geo: JP’s Region Name,TRUE,String,JP,IMB,,
F_34,ROG2,,,,,Geo_ROG2,Geo: Region / Continent Code: 3 string ROG2,TRUE,String,JP,,,
F_35,ROG3,ROG,,,,Geo_ROG3,Geo: Country Code (2 string ROG3),TRUE,String,JP,IMB,,
F_36,,RegnSub,,,,Geo_Sub_Continent,Geo: Sub-Continent,TRUE,String,IMB,,,
F_37,,,,,,Govt_Freedom_Index,Govt: Freedom Index IMB,FALSE,String,,,,
F_38,,,,,,Govt_Government_Restrictions_Index,Govt: Government Restrictions Index IMB,FALSE,String,,,,
F_39,,,,,,Govt_Social_Hostilities_Index,Govt: Social Hostilities Index IMB,FALSE,String,,,,
F_40,,,,,,Govt_Threat_Level,Govt: Threat Level IMB,FALSE,String,,,,
F_41,IndigenousCode,Indigenous,,Diaspora (Boolean),,Indigenous_Code,Indigenous Code: Y/N,TRUE,Boolean,JP,IMB,AX,
F_42,,,,,,Indigenous_Country_Code_FIPS_of_Origin,Indigenous: Country Code FIPS of Origin,FALSE,String,,,,
F_43,,,,,,Indigenous_Country_of_Origin,Indigenous: Country of Origin,FALSE,String,,,,
F_44,,,,,,Indigenous_Dispersed,Indigenous: Dispersed (Y/N),FALSE,Boolean,,,,
F_45,,,,,,Indigenous_Nomadic,Indigenous: Nomadic (Y/N),FALSE,Boolean,,,,
F_46,,,,,,Indigenous_Nomadic_Code,Indigenous: Nomadic Code,FALSE,String,,,,
F_47,,,,,,Indigenous_Nomadic_Description,Indigenous: Nomadic Description,FALSE,String,,,,
F_48,PrimaryLanguageName,Lang,primary_language,Language (Text),,Language_Name,Language: Name,TRUE,String,JP,IMB,Etno,AX
F_49,ROL3,ROL,,ROL (Text),,Language_ROL3,Language: 3 string Code ROL,TRUE,String,JP,IMB,AX,
F_50,,,,,Needs Workers Needed,Needs_Workers_Needed,Needs: Workers Needed,TRUE,Integer,,,,
F_51,,,,Local Research Code (Integer),,Other_Local_Research_Code,Other: Local Research Code,TRUE,Integer,AX,,,
F_52,,,,,,Other_Physical_Exertion_Scale,Other: Physical Exertion Scale IMB,FALSE,String,,,,
F_53,,,,Researcher Human Data (Text),,Other_Researcher_Human_Data,Other: Researcher Human Data,TRUE,String,AX,,,
F_54,,,,Researcher Org Data (Text),,Other_Researcher_Org_Data,Other: Researcher Org Data,TRUE,String,AX,,,
F_55,,Aff,,,,PG_Affinity,People Group: Affinity (IMB),TRUE,String,IMB,,,
F_56,AffinityBloc,Affbloc,,,,PG_Affinity_Bloc_Name,People Group: Affinity Bloc Name,TRUE,String,JP,IMB,,
F_57,,,,,AX-PGAC ID# (Text),PG_AX_unique_PG_ID_PGAC,People Group: AX’s unique PG ID# (PGAC),FALSE,String,,,,
F_58,,,,,AX-PGAC-IC ID# (Text),PG_AX_unique_PG_ID_PGIC,People Group: AX’s unique PG ID# (PGIC),FALSE,String,,,,
F_59,PeopleCluster,PplClstr,,,,PG_Clusters_Name,PG Clusters Name,TRUE,String,JP,IMB,,
F_60,PeopNameInCountry,PplNm,alternate_names,,,PG_Name_Alt,People Group: Name (Alt),TRUE,String,JP,IMB,Etno,
F_61,PeopNameAcrossCountries,Name,title,People Group Name (Text),,PG_Name_Main,People Group: Name (Main),TRUE,String,IMB,JP,Etno,AX
F_62,,PEID,peid_list_json,People Group: PEID (Integer),,PG_PEID,People Group: IMB’s Unique PG ID# PEID / PGID (PGIC),TRUE,Integer,IMB,AX,Etno,
F_63,PeopleID1,,,,,PG_PeopleID1,People Group: Affinity Bloc JP’s Scale (PeopleID1),TRUE,Integer,JP,,,
F_64,PeopleID2,,,,,PG_PeopleID2,PG Clusters Code: JP’s PeopleID2,TRUE,Integer,JP,,,
F_65,PeopleID3,,peopleid3,People Group: PeopleID3 (Integer),,PG_PeopleID3,People Group: JP’s Unique PG ID# (PGAC),TRUE,Integer,JP,AX,Etno,
F_66,Population,Pop,,Population (Integer),,PG_Population,People Group: Population,TRUE,Integer,JP,IMB,AX,
F_67,,PopCls,,,,PG_Population_Range_Layer,People Group: Population Range Layer (IMB),TRUE,String,IMB,,,
F_68,ROP1,ROP1,,ROP1 (Text),,PG_ROP1,People Group: Affinity Bloc Code,TRUE,String,JP,IMB,AX,
F_69,ROP2,ROP2,,ROP2 (Text),,PG_ROP2,PG Clusters Code: ROP2,TRUE,String,JP,IMB,AX,
F_70,,ROP25,,,,PG_ROP25,People Group: 6dig Code ROP25 (PGIC),TRUE,Integer,IMB,,,
F_71,ROP3,ROP3,rop3,ROP3 (Integer),,PG_ROP3,People Group: 6dig Code ROP3 (PGIC),TRUE,Integer,JP,IMB,AX,Etno
F_72,,,,People Group: Specific (Notes),,PG_Specific_Notes,People Group: Specific (Notes),TRUE,String,,,,
F_73,PrimaryReligion,Rlgn,primary_or_principal_religion,Religion Assessment: Primary Religion (text),,Religion_Name,Religion: Name,TRUE,String,JP,IMB,Etno,AX
F_74,RLG3,,,,,Religion_RLG3,Religion: JP’s Scale RLG3,TRUE,Integer,JP,,,
F_75,,Audio,,,,Resources_Audio_Scripture,Resources: Audio Scripture (Y/N),TRUE,Boolean,IMB,,,
F_76,,,,,,Resources_Gospel_Films,Resources: Gospel Films (Y/N),FALSE,Boolean,,,,
F_77,,Gospel,,,,Resources_Gospel_Recordings,Resources: Gospel Recordings (Y/N),TRUE,Boolean,IMB,,,
F_78,,Jesus,,,,Resources_Jesus_Film,Resources: Jesus Film (Y/N),TRUE,Boolean,IMB,,,
F_79,,Radio,,,,Resources_Radio_Broadcast,Resources: Radio Broadcast (Y/N),TRUE,Boolean,IMB,,,
F_80,BibleStatus,,,,,Resources_Scripture_Translation_5_Point_Scale,Resources: Scripture Translation 5 Point Scale,TRUE,Integer,JP,,,
F_81,,,,,,Resources_The_Hope,Resources:The Hope (Y/N),FALSE,Boolean,,,,
F_82,,Bible,bible_translation_exists,,,Resources_Written_Scripture,Resources: Written Scripture (Y/N),TRUE,Boolean,IMB,Etno,,
F_83,,,,,Data Source,Data_Source,Data Source,TRUE,String,,,,
F_84,,,,,Dataset ID,Dataset_ID,Dataset ID,TRUE,String,,,,
F_85,,,,,Dataset Row ID,Dataset_Row_ID,Dataset Row ID,TRUE,String,,,,
F_86,,,,,Dataset Row Key,Dataset_Row_Key,Dataset Row Key,TRUE,String,,,,
F_87,PercentEvangelicalPGAC,,,,,Percent_Evangelical_PGAC,Percent Evangelical PGAC,TRUE,String,JP,,,
